"","X","name","latitude","longitude","station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain","arrond","rain_bin","wkend","superficie","population_2021","density","u15","nb_stations","station_density"
"30",30,"12e avenue / St-Zotique",45.556867,-73.589307,597,7,26,"Monday",1,0,368.35,14.734,NA,6,13,25,23.5,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"31",31,"12e avenue / St-Zotique",45.556867,-73.589307,597,8,25,"Wednesday",1,0,454.766666666667,15.1588888888889,NA,14,13,30,26.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"32",32,"12e avenue / St-Zotique",45.556867,-73.589307,597,8,26,"Thursday",0,0,152.816666666667,19.1020833333333,32.9225,0,3,8,27.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"33",33,"12e avenue / St-Zotique",45.556867,-73.589307,597,9,8,"Wednesday",0,0,82.5333333333333,13.7555555555556,19.88,2,3,6,18.6,1,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"34",34,"12e avenue / St-Zotique",45.556867,-73.589307,597,9,20,"Monday",1,0,303.666666666667,18.9791666666667,NA,7,5,16,17.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"35",35,"12e avenue / St-Zotique",45.556867,-73.589307,597,9,27,"Monday",1,0,209.75,16.1346153846154,NA,5,7,13,13.6,3.1,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"36",36,"12e avenue / St-Zotique",45.556867,-73.589307,597,10,14,"Thursday",0,0,92.0833333333333,15.3472222222222,21.3125,3,3,6,18.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"37",37,"12e avenue / St-Zotique",45.556867,-73.589307,597,10,21,"Thursday",0,0,87.2,14.5333333333333,20.58,2,4,6,11.7,5.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"38",38,"12e avenue / St-Zotique",45.556867,-73.589307,597,10,31,"Sunday",1,0,64.55,16.1375,NA,1,2,4,9.6,37,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"39",39,"15e avenue / Masson",45.553898,-73.571387,611,4,18,"Sunday",1,0,474.283333333333,17.566049382716,NA,9,18,27,9.1,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"40",40,"15e avenue / Masson",45.553898,-73.571387,611,5,3,"Monday",1,0,267.183333333333,15.7166666666667,NA,8,8,17,7.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"41",41,"15e avenue / Masson",45.553898,-73.571387,611,5,6,"Thursday",0,0,148.116666666667,24.6861111111111,29.7175,2,4,6,10.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"42",42,"15e avenue / Masson",45.553898,-73.571387,611,5,20,"Thursday",1,0,511.2,14.2,NA,20,14,36,23.4,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"43",43,"15e avenue / Masson",45.553898,-73.571387,611,5,29,"Saturday",1,0,615.65,19.8596774193548,NA,6,21,31,11.4,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"44",44,"15e avenue / Masson",45.553898,-73.571387,611,6,21,"Monday",0,0,40.4666666666667,13.4888888888889,9.82,0,3,3,24.1,2.9,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"45",45,"15e avenue / Masson",45.553898,-73.571387,611,7,3,"Saturday",1,0,470.15,14.6921875,NA,6,21,32,16.5,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,0,99,6.22641509433962
"46",46,"15e avenue / Masson",45.553898,-73.571387,611,7,7,"Wednesday",0,0,119.516666666667,23.9033333333333,24.1775,2,2,5,16.4,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"47",47,"15e avenue / Masson",45.553898,-73.571387,611,7,14,"Wednesday",1,0,405.716666666667,13.0876344086022,NA,12,16,31,24.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"48",48,"15e avenue / Masson",45.553898,-73.571387,611,9,25,"Saturday",1,0,657.6,14.9454545454545,NA,12,29,44,16.7,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,0,99,6.22641509433962
"49",49,"15e avenue / Masson",45.553898,-73.571387,611,9,26,"Sunday",0,0,193.733333333333,24.2166666666667,39.06,2,4,8,16.7,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"50",50,"15e avenue / Masson",45.553898,-73.571387,611,10,14,"Thursday",1,0,688.216666666667,12.9852201257862,NA,24,22,53,18.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"51",51,"15e avenue / Masson",45.553898,-73.571387,611,10,27,"Wednesday",1,0,533.533333333333,13.0130081300813,NA,21,14,41,9.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"52",52,"16e avenue / Beaubien",45.558281,-73.583159,560,4,25,"Sunday",0,0,52.8,26.4,10.42,2,0,2,9.2,1.4,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"53",53,"16e avenue / Beaubien",45.558281,-73.583159,560,4,29,"Thursday",0,0,66.7166666666667,16.6791666666667,15.0075,0,3,4,13.8,0.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"54",54,"16e avenue / Beaubien",45.558281,-73.583159,560,4,30,"Friday",0,0,7.18333333333333,7.18333333333333,2.3275,0,1,1,7.9,27.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"55",55,"16e avenue / Beaubien",45.558281,-73.583159,560,5,15,"Saturday",1,0,225.983333333333,15.0655555555556,NA,6,7,15,17.7,0.2,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"56",56,"16e avenue / Beaubien",45.558281,-73.583159,560,5,25,"Tuesday",1,0,342.05,16.2880952380952,NA,4,15,21,19.7,0.5,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"57",57,"16e avenue / Beaubien",45.558281,-73.583159,560,5,27,"Thursday",1,0,385.633333333333,14.8320512820513,NA,6,13,26,11.5,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"58",58,"16e avenue / Beaubien",45.558281,-73.583159,560,6,14,"Monday",0,0,24.0666666666667,12.0333333333333,6.11,0,2,2,20.6,7.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"59",59,"16e avenue / Beaubien",45.558281,-73.583159,560,6,23,"Wednesday",0,0,20.65,20.65,4.3475,0,0,1,14.5,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"60",60,"16e avenue / Beaubien",45.558281,-73.583159,560,6,26,"Saturday",1,0,106.4,15.2,NA,3,3,7,21.4,20.8,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"61",61,"16e avenue / Beaubien",45.558281,-73.583159,560,6,29,"Tuesday",1,0,454.933333333333,18.9555555555556,NA,5,12,24,25.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"62",62,"16e avenue / Beaubien",45.558281,-73.583159,560,7,4,"Sunday",0,0,66.55,16.6375,14.9825,1,3,4,18.4,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"63",63,"16e avenue / Beaubien",45.558281,-73.583159,560,7,4,"Sunday",1,0,236.066666666667,21.4606060606061,NA,3,7,11,18.4,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"64",64,"16e avenue / Beaubien",45.558281,-73.583159,560,7,22,"Thursday",1,0,224.683333333333,13.2166666666667,NA,3,11,17,19.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"65",65,"16e avenue / Beaubien",45.558281,-73.583159,560,8,4,"Wednesday",1,0,318.066666666667,14.4575757575758,NA,7,12,22,21.1,0.2,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"66",66,"16e avenue / Beaubien",45.558281,-73.583159,560,8,11,"Wednesday",1,0,256.216666666667,12.8108333333333,NA,3,16,20,27,5,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"67",67,"16e avenue / Beaubien",45.558281,-73.583159,560,8,23,"Monday",1,0,582.866666666667,13.5550387596899,NA,12,26,43,26.7,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"68",68,"16e avenue / Beaubien",45.558281,-73.583159,560,8,28,"Saturday",1,0,168.683333333333,11.2455555555556,NA,2,9,15,18.9,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,0,99,6.22641509433962
"69",69,"16e avenue / Beaubien",45.558281,-73.583159,560,9,24,"Friday",0,0,50.9166666666667,25.4583333333333,10.1375,0,1,2,18.3,26.5,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"70",70,"16e avenue / Beaubien",45.558281,-73.583159,560,9,24,"Friday",1,0,371.533333333333,12.8114942528736,NA,9,12,29,18.3,26.5,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"71",71,"16e avenue / Beaubien",45.558281,-73.583159,560,10,19,"Tuesday",0,0,26.6166666666667,13.3083333333333,6.4925,0,0,2,8.8,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"72",72,"16e avenue / Beaubien",45.558281,-73.583159,560,11,7,"Sunday",0,0,24.7,12.35,6.205,0,2,2,6.9,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,0,99,6.22641509433962
"73",73,"16e avenue / Jean-Talon",45.56244,-73.595333,487,4,13,"Tuesday",1,0,296.483333333333,15.6043859649123,NA,4,15,19,12.1,0.2,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"74",74,"16e avenue / Jean-Talon",45.56244,-73.595333,487,5,11,"Tuesday",0,0,114.466666666667,22.8933333333333,23.42,1,4,5,9.8,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"75",75,"16e avenue / Jean-Talon",45.56244,-73.595333,487,5,14,"Friday",0,0,78.3,26.1,15.495,1,1,3,17.8,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"76",76,"16e avenue / Jean-Talon",45.56244,-73.595333,487,6,13,"Sunday",0,0,123.6,24.72,24.79,2,1,5,21.6,2.8,"Villeray-Saint-Michel-Parc-Extension",1,1,16.5,145090,8793.33333333333,1,62,3.75757575757576
"77",77,"16e avenue / Jean-Talon",45.56244,-73.595333,487,8,23,"Monday",1,0,434.483333333333,16.091975308642,NA,7,11,27,26.7,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"78",78,"16e avenue / Jean-Talon",45.56244,-73.595333,487,8,27,"Friday",1,0,521.25,20.85,NA,5,17,25,21.2,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"79",79,"16e avenue / Jean-Talon",45.56244,-73.595333,487,9,4,"Saturday",1,0,336.25,17.6973684210526,NA,3,12,19,19,0,"Villeray-Saint-Michel-Parc-Extension",0,1,16.5,145090,8793.33333333333,1,62,3.75757575757576
"80",80,"16e avenue / Jean-Talon",45.56244,-73.595333,487,9,15,"Wednesday",1,0,294.75,13.3977272727273,NA,5,11,22,17.6,11.1,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333,0,62,3.75757575757576
"81",81,"16e avenue / Jean-Talon",45.56244,-73.595333,487,10,3,"Sunday",1,0,257.683333333333,18.4059523809524,NA,0,10,14,13,0.7,"Villeray-Saint-Michel-Parc-Extension",1,1,16.5,145090,8793.33333333333,1,62,3.75757575757576
"82",82,"16e avenue / Jean-Talon",45.56244,-73.595333,487,10,7,"Thursday",1,0,376.8,17.1272727272727,NA,8,10,22,14.4,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"83",83,"16e avenue / Jean-Talon",45.56244,-73.595333,487,10,11,"Monday",0,1,102.85,25.7125,20.4275,0,2,4,18.4,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"84",84,"16e avenue / Jean-Talon",45.56244,-73.595333,487,10,17,"Sunday",0,0,36.2833333333333,18.1416666666667,7.9425,1,1,2,11.1,0.2,"Villeray-Saint-Michel-Parc-Extension",1,1,16.5,145090,8793.33333333333,1,62,3.75757575757576
"85",85,"16e avenue / Jean-Talon",45.56244,-73.595333,487,10,21,"Thursday",0,0,16.3666666666667,16.3666666666667,3.705,0,1,1,11.7,5.8,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"86",86,"16e avenue / Jean-Talon",45.56244,-73.595333,487,10,25,"Monday",1,0,173.133333333333,11.5422222222222,NA,7,6,15,6.5,0.5,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333,0,62,3.75757575757576
"87",87,"16e avenue / Jean-Talon",45.56244,-73.595333,487,11,12,"Friday",1,0,65.3,16.325,NA,0,2,4,7.7,20.4,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333,1,62,3.75757575757576
"88",88,"16e avenue / Jean-Talon",45.56244,-73.595333,487,11,14,"Sunday",1,0,102.9,12.8625,NA,3,5,8,4.1,3,"Villeray-Saint-Michel-Parc-Extension",1,1,16.5,145090,8793.33333333333,0,62,3.75757575757576
"89",89,"16e avenue / St-Joseph",45.55287,-73.565631,100,4,12,"Monday",1,0,223.166666666667,15.9404761904762,NA,5,9,14,12.9,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"90",90,"16e avenue / St-Joseph",45.55287,-73.565631,100,4,23,"Friday",1,0,179.1,16.2818181818182,NA,4,6,11,8.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"91",91,"16e avenue / St-Joseph",45.55287,-73.565631,100,5,8,"Saturday",1,0,459.933333333333,20.9060606060606,NA,8,13,22,11.7,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"92",92,"16e avenue / St-Joseph",45.55287,-73.565631,100,5,12,"Wednesday",0,0,49.9333333333333,24.9666666666667,9.99,0,2,2,12,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"93",93,"16e avenue / St-Joseph",45.55287,-73.565631,100,7,28,"Wednesday",0,0,45.7166666666667,9.14333333333333,13.1075,1,2,5,19.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"94",94,"16e avenue / St-Joseph",45.55287,-73.565631,100,8,5,"Thursday",0,0,10.7333333333333,10.7333333333333,2.86,0,1,1,22.1,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"95",95,"16e avenue / St-Joseph",45.55287,-73.565631,100,8,9,"Monday",1,0,359.6,12.8428571428571,NA,10,11,28,25.2,0.2,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"96",96,"16e avenue / St-Joseph",45.55287,-73.565631,100,8,17,"Tuesday",1,0,429.183333333333,13.4119791666667,NA,13,15,32,21.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"97",97,"16e avenue / St-Joseph",45.55287,-73.565631,100,8,20,"Friday",0,0,43,10.75,11.45,1,1,4,25.9,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"98",98,"16e avenue / St-Joseph",45.55287,-73.565631,100,9,2,"Thursday",0,0,73.5333333333333,12.2555555555556,18.53,3,2,6,15.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"99",99,"16e avenue / St-Joseph",45.55287,-73.565631,100,9,9,"Thursday",1,0,325.283333333333,12.5108974358974,NA,7,13,26,19.5,1.6,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"100",100,"16e avenue / St-Joseph",45.55287,-73.565631,100,9,16,"Thursday",0,0,98.5166666666667,16.4194444444444,22.2775,3,3,6,16.9,0.2,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"101",101,"16e avenue / St-Joseph",45.55287,-73.565631,100,9,29,"Wednesday",1,0,508.466666666667,15.8895833333333,NA,13,17,32,11.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"102",102,"16e avenue / St-Joseph",45.55287,-73.565631,100,10,29,"Friday",0,0,125.65,17.95,27.5975,1,3,7,7.8,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"103",103,"18e avenue / Rosemont",45.557896,-73.576529,601,4,11,"Sunday",1,0,161.6,20.2,NA,1,7,8,12.5,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"104",104,"18e avenue / Rosemont",45.557896,-73.576529,601,4,27,"Tuesday",1,0,276.066666666667,13.8033333333333,NA,5,15,20,8,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"105",105,"18e avenue / Rosemont",45.557896,-73.576529,601,5,3,"Monday",1,0,324,18,NA,6,12,18,7.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"106",106,"18e avenue / Rosemont",45.557896,-73.576529,601,5,9,"Sunday",1,0,457.266666666667,16.3309523809524,NA,2,24,28,11.4,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"107",107,"18e avenue / Rosemont",45.557896,-73.576529,601,5,26,"Wednesday",0,0,61,15.25,14.15,1,3,4,24,0.4,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"108",108,"18e avenue / Rosemont",45.557896,-73.576529,601,6,4,"Friday",0,0,21.6166666666667,10.8083333333333,5.7425,0,1,2,22,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,0,99,6.22641509433962
"109",109,"18e avenue / Rosemont",45.557896,-73.576529,601,6,7,"Monday",0,0,140.95,15.6611111111111,32.3925,0,5,9,27.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"110",110,"18e avenue / Rosemont",45.557896,-73.576529,601,6,25,"Friday",0,0,73.7166666666667,18.4291666666667,16.0575,3,1,4,22.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358,1,99,6.22641509433962
"111",111,"18e avenue / Rosemont",45.557896,-73.576529,601,6,27,"Sunday",1,0,383.666666666667,17.4393939393939,NA,9,11,22,26.9,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
"112",112,"18e avenue / Rosemont",45.557896,-73.576529,601,7,10,"Saturday",1,0,679.4,16.985,NA,7,16,40,19,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358,1,99,6.22641509433962
