"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
36,"9",28,"Tuesday",1,0,490.016666666667,7.90349462365591,NA,19,35,62,10.5,0.2
36,"10",5,"Tuesday",0,0,74.1833333333333,7.41833333333333,23.6275,2,5,10,13.1,0
36,"10",15,"Friday",1,0,261.7,7.69705882352941,NA,14,17,34,18.4,0
36,"10",19,"Tuesday",0,0,96.7833333333333,6.91309523809524,32.0175,3,10,14,8.8,0
36,"10",26,"Tuesday",0,0,35.0666666666667,5.84444444444444,12.76,2,3,6,9.6,6.4
38,"4",16,"Friday",0,0,20.1166666666667,10.0583333333333,5.5175,1,0,2,6,7.7
38,"4",17,"Saturday",1,0,461.616666666667,18.4646666666667,NA,7,17,25,6.8,0
38,"5",5,"Wednesday",0,0,82.65,20.6625,17.3975,2,0,4,10.7,0.8
38,"5",6,"Thursday",0,0,172.583333333333,21.5729166666667,35.8875,1,7,8,10.2,0
38,"5",16,"Sunday",1,0,968.016666666667,19.3603333333333,NA,8,34,50,15.8,0.3
38,"5",21,"Friday",1,0,1212.1,17.825,NA,17,43,68,25.3,0
38,"6",4,"Friday",0,0,226.916666666667,18.9097222222222,49.0375,3,8,12,22,0
38,"6",13,"Sunday",1,0,1353.53333333333,18.290990990991,NA,13,41,74,21.6,2.8
38,"6",16,"Wednesday",0,0,212.616666666667,13.2885416666667,51.8925,4,4,16,15.2,0
38,"6",18,"Friday",0,0,166.75,16.675,37.5125,6,1,10,21.2,4.8
38,"6",21,"Monday",0,0,107.583333333333,10.7583333333333,28.6375,4,2,10,24.1,2.9
38,"6",26,"Saturday",0,0,58.3833333333333,9.73055555555556,16.2575,0,2,6,21.4,20.8
38,"8",5,"Thursday",1,0,1516.15,15.1615,NA,28,51,100,22.1,0
38,"8",8,"Sunday",0,0,241.083333333333,21.9166666666667,49.9125,1,9,11,24,0
38,"8",27,"Friday",1,0,1173,14.1325301204819,NA,15,54,83,21.2,0
