"","name","latitude","longitude","station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain","arrond","rain_bin","wkend","superficie","population_2021","density"
"26","12e avenue / St-Zotique",45.556867,-73.589307,597,"6","15","Tuesday","1",0,505.066666666667,18.7061728395062,NA,11,12,27,17.9,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"27","12e avenue / St-Zotique",45.556867,-73.589307,597,"6","27","Sunday","1",0,365.833333333333,17.4206349206349,NA,5,15,21,26.9,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"28","12e avenue / St-Zotique",45.556867,-73.589307,597,"7","7","Wednesday","0",0,62.0333333333333,20.6777777777778,13.055,2,1,3,16.4,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"29","12e avenue / St-Zotique",45.556867,-73.589307,597,"7","25","Sunday","1",0,208.416666666667,17.3680555555556,NA,0,10,12,22.8,13.9,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358
"30","12e avenue / St-Zotique",45.556867,-73.589307,597,"7","26","Monday","1",0,368.35,14.734,NA,6,13,25,23.5,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"31","12e avenue / St-Zotique",45.556867,-73.589307,597,"8","25","Wednesday","1",0,454.766666666667,15.1588888888889,NA,14,13,30,26.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"32","12e avenue / St-Zotique",45.556867,-73.589307,597,"8","26","Thursday","0",0,152.816666666667,19.1020833333333,32.9225,0,3,8,27.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"33","12e avenue / St-Zotique",45.556867,-73.589307,597,"9","8","Wednesday","0",0,82.5333333333333,13.7555555555556,19.88,2,3,6,18.6,1,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"34","12e avenue / St-Zotique",45.556867,-73.589307,597,"9","20","Monday","1",0,303.666666666667,18.9791666666667,NA,7,5,16,17.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"35","12e avenue / St-Zotique",45.556867,-73.589307,597,"9","27","Monday","1",0,209.75,16.1346153846154,NA,5,7,13,13.6,3.1,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"36","12e avenue / St-Zotique",45.556867,-73.589307,597,"10","14","Thursday","0",0,92.0833333333333,15.3472222222222,21.3125,3,3,6,18.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"37","12e avenue / St-Zotique",45.556867,-73.589307,597,"10","21","Thursday","0",0,87.2,14.5333333333333,20.58,2,4,6,11.7,5.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"38","12e avenue / St-Zotique",45.556867,-73.589307,597,"10","31","Sunday","1",0,64.55,16.1375,NA,1,2,4,9.6,37,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358
"39","15e avenue / Masson",45.553898,-73.571387,611,"4","18","Sunday","1",0,474.283333333333,17.566049382716,NA,9,18,27,9.1,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"40","15e avenue / Masson",45.553898,-73.571387,611,"5","3","Monday","1",0,267.183333333333,15.7166666666667,NA,8,8,17,7.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"41","15e avenue / Masson",45.553898,-73.571387,611,"5","6","Thursday","0",0,148.116666666667,24.6861111111111,29.7175,2,4,6,10.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"42","15e avenue / Masson",45.553898,-73.571387,611,"5","20","Thursday","1",0,511.2,14.2,NA,20,14,36,23.4,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"43","15e avenue / Masson",45.553898,-73.571387,611,"5","29","Saturday","1",0,615.65,19.8596774193548,NA,6,21,31,11.4,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"44","15e avenue / Masson",45.553898,-73.571387,611,"6","21","Monday","0",0,40.4666666666667,13.4888888888889,9.82,0,3,3,24.1,2.9,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"45","15e avenue / Masson",45.553898,-73.571387,611,"7","3","Saturday","1",0,470.15,14.6921875,NA,6,21,32,16.5,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"46","15e avenue / Masson",45.553898,-73.571387,611,"7","7","Wednesday","0",0,119.516666666667,23.9033333333333,24.1775,2,2,5,16.4,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"47","15e avenue / Masson",45.553898,-73.571387,611,"7","14","Wednesday","1",0,405.716666666667,13.0876344086022,NA,12,16,31,24.2,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"48","15e avenue / Masson",45.553898,-73.571387,611,"9","25","Saturday","1",0,657.6,14.9454545454545,NA,12,29,44,16.7,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"49","15e avenue / Masson",45.553898,-73.571387,611,"9","26","Sunday","0",0,193.733333333333,24.2166666666667,39.06,2,4,8,16.7,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"50","15e avenue / Masson",45.553898,-73.571387,611,"10","14","Thursday","1",0,688.216666666667,12.9852201257862,NA,24,22,53,18.3,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"51","15e avenue / Masson",45.553898,-73.571387,611,"10","27","Wednesday","1",0,533.533333333333,13.0130081300813,NA,21,14,41,9.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"52","16e avenue / Beaubien",45.558281,-73.583159,560,"4","25","Sunday","0",0,52.8,26.4,10.42,2,0,2,9.2,1.4,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358
"53","16e avenue / Beaubien",45.558281,-73.583159,560,"4","29","Thursday","0",0,66.7166666666667,16.6791666666667,15.0075,0,3,4,13.8,0.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"54","16e avenue / Beaubien",45.558281,-73.583159,560,"4","30","Friday","0",0,7.18333333333333,7.18333333333333,2.3275,0,1,1,7.9,27.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"55","16e avenue / Beaubien",45.558281,-73.583159,560,"5","15","Saturday","1",0,225.983333333333,15.0655555555556,NA,6,7,15,17.7,0.2,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358
"56","16e avenue / Beaubien",45.558281,-73.583159,560,"5","25","Tuesday","1",0,342.05,16.2880952380952,NA,4,15,21,19.7,0.5,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"57","16e avenue / Beaubien",45.558281,-73.583159,560,"5","27","Thursday","1",0,385.633333333333,14.8320512820513,NA,6,13,26,11.5,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"58","16e avenue / Beaubien",45.558281,-73.583159,560,"6","14","Monday","0",0,24.0666666666667,12.0333333333333,6.11,0,2,2,20.6,7.8,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"59","16e avenue / Beaubien",45.558281,-73.583159,560,"6","23","Wednesday","0",0,20.65,20.65,4.3475,0,0,1,14.5,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"60","16e avenue / Beaubien",45.558281,-73.583159,560,"6","26","Saturday","1",0,106.4,15.2,NA,3,3,7,21.4,20.8,"Rosemont-La Petite-Patrie",1,1,15.9,141813,8919.05660377358
"61","16e avenue / Beaubien",45.558281,-73.583159,560,"6","29","Tuesday","1",0,454.933333333333,18.9555555555556,NA,5,12,24,25.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"62","16e avenue / Beaubien",45.558281,-73.583159,560,"7","4","Sunday","0",0,66.55,16.6375,14.9825,1,3,4,18.4,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"63","16e avenue / Beaubien",45.558281,-73.583159,560,"7","4","Sunday","1",0,236.066666666667,21.4606060606061,NA,3,7,11,18.4,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"64","16e avenue / Beaubien",45.558281,-73.583159,560,"7","22","Thursday","1",0,224.683333333333,13.2166666666667,NA,3,11,17,19.6,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"65","16e avenue / Beaubien",45.558281,-73.583159,560,"8","4","Wednesday","1",0,318.066666666667,14.4575757575758,NA,7,12,22,21.1,0.2,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"66","16e avenue / Beaubien",45.558281,-73.583159,560,"8","11","Wednesday","1",0,256.216666666667,12.8108333333333,NA,3,16,20,27,5,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"67","16e avenue / Beaubien",45.558281,-73.583159,560,"8","23","Monday","1",0,582.866666666667,13.5550387596899,NA,12,26,43,26.7,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"68","16e avenue / Beaubien",45.558281,-73.583159,560,"8","28","Saturday","1",0,168.683333333333,11.2455555555556,NA,2,9,15,18.9,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"69","16e avenue / Beaubien",45.558281,-73.583159,560,"9","24","Friday","0",0,50.9166666666667,25.4583333333333,10.1375,0,1,2,18.3,26.5,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"70","16e avenue / Beaubien",45.558281,-73.583159,560,"9","24","Friday","1",0,371.533333333333,12.8114942528736,NA,9,12,29,18.3,26.5,"Rosemont-La Petite-Patrie",1,0,15.9,141813,8919.05660377358
"71","16e avenue / Beaubien",45.558281,-73.583159,560,"10","19","Tuesday","0",0,26.6166666666667,13.3083333333333,6.4925,0,0,2,8.8,0,"Rosemont-La Petite-Patrie",0,0,15.9,141813,8919.05660377358
"72","16e avenue / Beaubien",45.558281,-73.583159,560,"11","7","Sunday","0",0,24.7,12.35,6.205,0,2,2,6.9,0,"Rosemont-La Petite-Patrie",0,1,15.9,141813,8919.05660377358
"73","16e avenue / Jean-Talon",45.56244,-73.595333,487,"4","13","Tuesday","1",0,296.483333333333,15.6043859649123,NA,4,15,19,12.1,0.2,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333
