OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
5233,Parc,,Henri-Valade,1064-000,0.3050477361696679,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de voisinage
5234,Parc,des,Locomotives,1166-000,0.3707214680693481,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Place publique
5235,Parc-école,,Saint-Jean-de-la-Lande,1133-000,1.1107180520022388,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de quartier
5236,Parc,,Maher,2481-000,0.18131893483191858,Ville de Montréal,LaSalle,Arrondissement,Parc d'arrondissement,Parc de voisinage
5237,Parc,,Stinson,2470-000,0.6003615098826668,Ville de Montréal,LaSalle,Arrondissement,Parc d'arrondissement,Place publique
5238,Parc-nature,du,Ruisseau-De Montigny,9570-000,0.26035891175738646,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,Parc-nature
5239,Parc-nature,du,Ruisseau-De Montigny,9570-000,0.06911971529606553,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,Parc-nature
5240,Parc,,Raymond-Lévesque,0218-000,0.22332764883062056,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de voisinage
5241,Parc,,Pierre-Tisseyre,0216-000,0.0922338099132806,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de quartier
5242,,,Accès Atwater,1059-000,0.38908486292052924,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5243,Parc,,Dominion,0773-000,0.061366942050108224,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Passage
5244,Parc,,Dominion,0773-000,0.05780174178323441,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Passage
5245,Parc,de,Verdelles,2015-000,0.2909998825140439,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
5246,Place,,Kate-Mcgarrigle,2624-000,0.01352177020509291,Ville de Montréal,Outremont,Arrondissement,Parc d'arrondissement,Place publique
5247,Parc,,Vinet,0376-000,1.5780501286653508,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de quartier
5248,Parc,,Brewster,0374-000,0.09286897439636259,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
