OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
63,073-0012-76-S2,0459-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
64,073-0013-76-S1,0025-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
65,073-0009-76-S2,0236-000,Soccer sous-terrain à 7,Le Plateau-Mont-Royal,Sportif
66,073-0011-76-S1,0412-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
67,073-0011-76-S2,0412-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
68,073-0017-76-S1,0006-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
69,004-0455,0947-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
70,073-0017-76-S2,0006-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
71,073-0027-76-S2,0126-000,Soccer sous-terrain à 7,Rosemont-La Petite-Patrie,Sportif
72,073-0030-76-S2,0401-000,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
73,073-0035-76-S1,0950-440,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
74,073-0037-76-S1,2601-000,Soccer sous-terrain à 7,Outremont,Sportif
75,073-0038-76-S1,0270-000,Soccer sous-terrain à 7,Ville-Marie,Sportif
76,073-0038-76-S2,0270-000,Soccer sous-terrain à 7,Ville-Marie,Sportif
77,073-0046-76-S1,2675-000,Soccer sous-terrain à 7,Pierrefonds-Roxboro,Sportif
78,073-0050-76-S1,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
79,073-0050-76-S2,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
80,073-0051-76-S1,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
81,073-0055-76-S1,0156-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
82,073-0062-76-S1,2891-000,Soccer sous-terrain à 7,Verdun,Sportif
83,073-0063-76-S2,2891-000,Soccer sous-terrain à 7,Verdun,Sportif
84,073-0064-76-S1,2895-000,Soccer sous-terrain à 7,Verdun,Sportif
85,073-0077-76-S2,1192-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
86,073-0079-76-S2, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
87,073-0080-76-S1, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
88,073-0080-76-S2, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
89,073-0086-76-S1,2564-000,Soccer sous-terrain à 7,Montréal-Nord,Sportif
90,073-0086-76-S2,2564-000,Soccer sous-terrain à 7,Montréal-Nord,Sportif
91,073-0094-76-S1,0076-000,Soccer sous-terrain à 7,Mercier-Hochelaga-Maisonneuve,Sportif
92,073-0094-76-S2,0076-000,Soccer sous-terrain à 7,Mercier-Hochelaga-Maisonneuve,Sportif
93,018-0055,2601-000,Basketball,Outremont,Récréatif
94,073-0024-75-S2, ,Soccer sous-terrain à 4-5,Lachine,Sportif
95,073-0024-75-S3, ,Soccer sous-terrain à 4-5,Lachine,Sportif
96,076-0141-75-S1,2009-000,Soccer sous-terrain à 4-5,Anjou,Sportif
97,074-0002-76-S2, ,Soccer sous-terrain à 7,Saint-Laurent,Sportif
98,074-0005-76-S2,1860-012,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
99,074-0006-76-S2, ,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
100,074-0007-76-S1,0424-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
101,074-0009-76-S1,0409-000,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
102,074-0009-76-S2,0409-000,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
103,074-0010-76-S2,2612-000,Soccer sous-terrain à 7,Outremont,Sportif
104,074-0014-76-S1,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
105,074-0014-76-S2,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
106,074-0016-76-S1,1860-024,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
107,074-0025-76-S1,1083-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
108,074-0026-76-S1,0980-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
109,074-0026-76-S2,0980-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
110,074-0030-76-S2,2850-000,Soccer sous-terrain à 7,Saint-Léonard,Sportif
111,054-0023,,Ping-pong,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
112,077-0004-75-S1,0158-000,Soccer sous-terrain à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
113,077-0004-75-S2,0158-000,Soccer sous-terrain à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
114,076-0160,2812-000,Soccer à 7,Saint-Laurent,Sportif
115,018-0005,2798-000,Basketball,Saint-Laurent,Récréatif
116,042-0002,2795-000,Jeux d'eau,Saint-Laurent,Récréatif
117,042-0155,2557-000,Jeux d'eau,Montréal-Nord,Récréatif
118,042-0145,1028-000,Jeux d'eau,Ville-Marie,Récréatif
119,042-0104,0363-000,Jeux d'eau,Le Sud-Ouest,Récréatif
120,075-0074,2852-000,Soccer à 4-5,Saint-Léonard,Sportif
121,075-0077,2852-000,Soccer à 4-5,Saint-Léonard,Sportif
122,075-0075,2852-000,Soccer à 4-5,Saint-Léonard,Sportif
123,003-0009,2800-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
124,004-0008,2800-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
125,003-0512,3816-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
126,042-0158,0225-000,Jeux d'eau,Ville-Marie,Récréatif
127,037-0009,2893-000,Grève / Plage,Verdum,Plein air
128,063-0019,0225-000,Quai,Ville-Marie,Plein air
129,055-0039,2893-000,Piscine extérieure,Verdun,Récréatif
130,073-0014,0024-000,Soccer à 11,Ahuntsic-Cartierville,Sportif
131,003-0124,0878-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
132,095-0108,0363-000,Pétanque,Le Sud-Ouest,Loisirs et détente
133,076-0018-75-S2,0012-000,Soccer sous-terrain à 4-5,Ahuntsic-Cartierville,Sportif
134,042-0157,2398-000,Jeux d'eau,Lachine,Récréatif
135,100-0001,0225-000,Sentier multifonctionnel,Ville-Marie,Plein air
136,004-0456,3816-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
137,067-0018,0225-000,Scène,Ville-Marie,Loisirs et détente
138,003-0119,0205-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
139,002-0035,0225-000,Aire de glissade,Ville-Marie,Loisirs et détente
140,073-0052-76-S2,0146-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
141,020-0025,1810-200,Belvédère,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
142,020-0026,1810-200,Belvédère,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
143,100-0002,0225-000,Sentier multifonctionnel,Ville-Marie,Plein air
144,073-0052-76-S1,0146-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
145,004-0354,1074-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
146,003-0125,1173-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
147,003-0282,0137-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
148,100-0003,0950-000,Sentier multifonctionnel,Villeray-Saint-Michel-Parc-Extension,Plein air
149,076-0158,0146-000,Soccer à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
150,037-0005,9503-000,Grève / Plage,Pierrefonds-Roxboro,Plein air
151,024-0002,9503-000,Canöe / Kayak,Pierrefonds-Roxboro,Plein air
152,020-0027,1215-000,Belvédère,LaSalle,Loisirs et détente
153,101-0001,2401-000,Arboretum,Lachine,Loisirs et détente
154,009-0062,2401-000,Aire de pique-nique,Lachine,Plein air
155,081-0103,2556-000,Tennis,Montréal-Nord,Sportif
156,042-0159,2550-000,Jeux d'eau,Montréal-Nord,Récréatif
157,095-0109,2555-000,Pétanque,Montréal-Nord,Loisirs et détente
158,003-0513,,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
159,004-0457,,Aire de jeu  5 à 12 ans,Lachine,Aire de jeu - enfant
160,056-0018,2401-000,Piste cyclable,Lachine,Plein air
161,070-0033,2401-000,Sentier de ski de fond,Lachine,Plein air
162,042-0144,0172-000,Jeux d'eau,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
163,050-0068,2564-000,Pataugeoire,Montréal-Nord,Récréatif
164,005-0014,2660-000,Aire de jeu combiné,Pierrefonds-Roxboro,Aire de jeu - enfant
165,003-0279,0157-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
166,075-0049,0157-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
167,075-0050,0157-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
168,073-0057,0157-000,Soccer à 11,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
169,073-0057-77-S2,0157-000,Soccer sous-terrain à 9,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
